fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-09-14,UA,UA_CODESHARE,UA,4681,AX,N843HK,4681,12156,HLN,"Helena, MT",11292,DEN,"Denver, CO",1225,1219,-6,5,1224,1351,9,1424,1400,-24,0,,0,N,119,101,87,1,594,,,,,,,,,
2019-09-11,WN,WN,WN,4322,WN,N8515X,4322,14100,PHL,"Philadelphia, PA",15016,STL,"St. Louis, MO",1120,1120,0,14,1134,1226,3,1250,1229,-21,0,,0,N,150,129,112,1,814,,,,,,,,,
2019-03-29,UA,UA_CODESHARE,UA,5532,OO,N919SW,5532,10257,ALB,"Albany, NY",13930,ORD,"Chicago, IL",1005,957,-8,11,1008,1119,17,1143,1136,-7,0,,0,N,158,159,131,1,723,,,,,,,,,
2018-03-23,DL,DL_CODESHARE,DL,3975,9E,N8877A,3975,13931,ORF,"Norfolk, VA",12953,LGA,"New York, NY",1250,1245,-5,29,1314,1420,6,1427,1426,-1,0,,0,N,97,101,66,1,296,,,,,,,,,
2019-01-02,B6,B6,B6,326,B6,N663JB,326,15304,TPA,"Tampa, FL",12478,JFK,"New York, NY",641,635,-6,10,645,846,5,915,851,-24,0,,0,N,154,136,121,1,1005,,,,,,,,,
2018-08-31,WN,WN,WN,883,WN,N258WN,883,14570,RNO,"Reno, NV",11292,DEN,"Denver, CO",1545,1621,36,14,1635,1919,5,1850,1924,34,0,,0,N,125,123,104,1,804,0,27,0,0,7,,,,
2018-05-13,AA,AA,AA,1894,AA,N922US,1894,13930,ORD,"Chicago, IL",14100,PHL,"Philadelphia, PA",845,843,-2,24,907,1150,10,1144,1200,16,0,,0,N,119,137,103,1,678,0,0,16,0,0,,,,
2019-09-12,WN,WN,WN,5449,WN,N762SW,5449,11292,DEN,"Denver, CO",10140,ABQ,"Albuquerque, NM",1635,1638,3,11,1649,1738,4,1755,1742,-13,0,,0,N,80,64,49,1,349,,,,,,,,,
2019-01-13,DL,DL,DL,2918,DL,N384DA,2918,11292,DEN,"Denver, CO",12953,LGA,"New York, NY",1135,1135,0,15,1150,1703,6,1716,1709,-7,0,,0,N,221,214,193,1,1620,,,,,,,,,
2018-10-18,WN,WN,WN,875,WN,N921WN,875,12191,HOU,"Houston, TX",15304,TPA,"Tampa, FL",620,618,-2,13,631,911,3,920,914,-6,0,,0,N,120,116,100,1,781,,,,,,,,,
2019-03-13,WN,WN,WN,2112,WN,N7857B,2112,10713,BOI,"Boise, ID",14107,PHX,"Phoenix, AZ",1340,1344,4,11,1355,1436,4,1440,1440,0,0,,0,N,120,116,101,1,735,,,,,,,,,
2018-01-27,AS,AS_CODESHARE,AS,3315,OO,N173SY,3315,14831,SJC,"San Jose, CA",12892,LAX,"Los Angeles, CA",1040,1035,-5,20,1055,1150,16,1215,1206,-9,0,,0,N,95,91,55,1,308,,,,,,,,,
2019-10-24,WN,WN,WN,2052,WN,N7727A,2052,11292,DEN,"Denver, CO",10713,BOI,"Boise, ID",1305,1408,63,11,1419,1553,3,1505,1556,51,0,,0,N,120,108,94,1,649,20,0,0,0,31,,,,
2018-10-19,WN,WN,WN,1421,WN,N8669B,1421,12339,IND,"Indianapolis, IN",10721,BOS,"Boston, MA",905,906,1,10,916,1055,7,1115,1102,-13,0,,0,N,130,116,99,1,818,,,,,,,,,
2018-02-15,AA,AA_CODESHARE,AA,4607,YX,N419YX,4607,10397,ATL,"Atlanta, GA",12953,LGA,"New York, NY",1307,1322,15,18,1340,1527,10,1524,1537,13,0,,0,N,137,135,107,1,762,,,,,,,,,
2018-02-26,DL,DL_CODESHARE,DL,3302,9E,N832AY,3302,11641,FAY,"Fayetteville, NC",10397,ATL,"Atlanta, GA",1854,1857,3,12,1909,2012,9,2030,2021,-9,0,,0,N,96,84,63,1,331,,,,,,,,,
2019-03-10,UA,UA_CODESHARE,UA,4044,EV,N13979,4044,13930,ORD,"Chicago, IL",15370,TUL,"Tulsa, OK",1250,1248,-2,19,1307,1453,5,1458,1458,0,0,,0,N,128,130,106,1,585,,,,,,,,,
